theta(º) phi(º) Potencia(mW)
108 278 6.81
100 278 3.93
106 278 6.23
96 278 2.63
98 278 3.3
102 278 4.95
104 278 5.59
110 278 7.28
112 278 7.23
114 278 6.76
116 278 6.31
118 278 5.31
120 278 4.28
122 278 3.57
124 278 3.28
126 278 3.03
128 278 3.03
130 278 2.95
134 278 2.3
138 278 1.3
142 278 0.85
150 278 0.63
160 278 0.66
170 278 0.71
180 278 1.08
186 278 2.33
190 278 3.66
194 278 5.71
192 278 4.97
198 278 6.87
200 278 7.51
202 278 7.62
204 278 7.33
206 278 6.92
208 278 5.89
212 278 4.62
216 278 3.81
220 278 4.33
230 278 2.58
240 278 2.36
250 278 2.66
260 278 2.65
270 278 3.36
280 278 3.58
290 278 4.7
294 278 5.2
298 278 4.54
296 278 5.28
302 278 3.91
310 278 2.31
320 278 2.95
340 278 4.01
202 278 7.78
202 280 5.36
202 282 3.88
202 284 4.03
202 286 3.38
202 288 1.55
202 290 1.33
202 300 0.91
202 310 0.74
202 320 0.52
202 330 1.96
202 340 0.54
202 328 1.22
202 332 2.1
202 326 0.48
202 334 1.84
202 336 1.57
202 338 1.09
202 276 5.51
202 274 2.42
202 272 0.72
202 270 0.52



