Distance_(mm),Gray_Value
0.0000,68.333
0.1989,69.293
0.3979,69.333
0.5968,69.333
0.7958,70.173
0.9947,70.333
1.1937,70.333
1.3926,71.053
1.5916,71.333
1.7905,71.333
1.9895,71.333
2.1884,71.333
2.3874,71.333
2.5863,71.333
2.7852,71.333
2.9842,71.333
3.1831,71.453
3.3821,71.987
3.5810,72.760
3.7800,72.901
3.9789,73.120
4.1779,73.330
4.3768,73.173
4.5758,74.000
4.7747,73.960
4.9736,73.000
5.1726,73.000
5.3715,73.920
5.5705,74.880
5.7694,76.823
5.9684,79.320
6.1673,81.403
6.3663,82.826
6.5652,86.280
6.7642,90.167
6.9631,93.887
7.1621,97.563
7.3610,101.403
7.5599,106.288
7.7589,113.947
7.9578,122.347
8.1568,129.658
8.3557,137.521
8.5547,145.059
8.7536,160.262
8.9526,170.260
9.1515,175.923
9.3505,192.773
9.5494,205.154
9.7484,201.315
9.9473,214.000
10.1462,209.267
10.3452,205.317
10.5441,202.273
10.7431,204.945
10.9420,201.257
11.1410,191.488
11.3399,185.712
11.5389,176.126
11.7378,166.008
11.9368,154.573
12.1357,144.129
12.3346,134.520
12.5336,124.792
12.7325,116.352
12.9315,111.827
13.1304,109.542
13.3294,106.748
13.5283,104.126
13.7273,100.838
13.9262,98.240
14.1252,95.335
14.3241,93.161
14.5231,91.555
14.7220,90.606
14.9209,89.000
15.1199,87.080
15.3188,84.853
15.5178,83.899
15.7167,84.049
15.9157,84.587
16.1146,84.788
16.3136,84.241
16.5125,83.093
16.7115,82.667
16.9104,82.667
17.1094,82.667
17.3083,82.667
17.5072,82.667
17.7062,82.490
17.9051,82.033
18.1041,81.609
18.3030,81.333
18.5020,81.333
18.7009,81.333
18.8999,81.333
19.0988,81.333
19.2978,81.333
19.4967,81.333
19.6956,81.267
19.8946,79.667
