Distance_(mm),Gray_Value
0.0000,68.667
0.1630,69.655
0.3259,69.667
0.4889,69.667
0.6518,69.667
0.8148,69.667
0.9778,69.667
1.1407,69.667
1.3037,69.621
1.4666,69.508
1.6296,69.640
1.7925,69.771
1.9555,69.902
2.1185,70.032
2.2814,70.163
2.4444,70.294
2.6073,70.333
2.7703,71.140
2.9333,71.333
3.0962,71.333
3.2592,71.333
3.4221,71.333
3.5851,71.333
3.7480,71.333
3.9110,71.333
4.0740,70.617
4.2369,71.038
4.3999,71.333
4.5628,71.333
4.7258,72.004
4.8888,72.333
5.0517,72.549
5.2147,73.303
5.3776,73.042
5.5406,72.667
5.7035,72.667
5.8665,73.258
6.0295,73.860
6.1924,74.568
6.3554,75.000
6.5183,75.000
6.6813,75.890
6.8443,76.667
7.0072,76.667
7.1702,77.167
7.3331,78.155
7.4961,79.144
7.6590,79.667
7.8220,79.667
7.9850,81.144
8.1479,83.000
8.3109,83.140
8.4738,83.417
8.6368,83.938
8.7998,85.018
8.9627,86.542
9.1257,88.364
9.2886,90.215
9.4516,92.693
9.6146,93.373
9.7775,94.794
9.9405,97.330
10.1034,101.325
10.2664,106.280
10.4293,110.278
10.5923,114.180
10.7553,119.781
10.9182,124.621
11.0812,129.939
11.2441,133.960
11.4071,136.793
11.5701,140.712
11.7330,146.335
11.8960,153.561
12.0589,168.372
12.2219,173.336
12.3848,174.342
12.5478,167.169
12.7108,159.001
12.8737,159.518
13.0367,173.782
13.1996,188.309
13.3626,201.861
13.5256,185.075
13.6885,189.955
13.8515,203.664
14.0144,213.483
14.1774,204.719
14.3403,183.833
14.5033,182.479
14.6663,198.892
14.8292,187.156
14.9922,182.028
15.1551,181.575
15.3181,179.366
15.4811,177.164
15.6440,172.788
15.8070,164.038
15.9699,153.618
16.1329,156.055
16.2958,157.956
16.4588,155.904
16.6218,154.611
16.7847,154.608
16.9477,152.601
17.1106,148.011
17.2736,142.417
17.4366,132.360
17.5995,123.262
17.7625,120.698
17.9254,120.948
18.0884,120.483
18.2514,119.689
18.4143,119.551
18.5773,119.009
18.7402,115.562
18.9032,109.386
19.0661,103.044
19.2291,98.451
19.3921,95.349
19.5550,92.222
19.7180,89.440
19.8809,86.171
20.0439,84.466
20.2069,83.348
20.3698,81.959
20.5328,80.529
20.6957,79.373
20.8587,78.152
21.0216,77.041
21.1846,74.051
21.3476,72.002
21.5105,72.167
21.6735,71.839
21.8364,71.201
21.9994,70.621
22.1624,69.968
22.3253,69.305
22.4883,67.700
22.6512,66.218
22.8142,65.674
22.9771,65.349
23.1401,65.223
23.3031,65.096
23.4660,64.667
23.6290,64.667
23.7919,64.955
23.9549,65.667
24.1179,65.348
24.2808,64.667
24.4438,64.667
24.6067,64.383
24.7697,63.667
24.9326,63.667
25.0956,63.667
25.2586,63.667
25.4215,63.579
25.5845,63.045
25.7474,62.667
25.9104,62.516
26.0734,61.741
26.2363,61.627
26.3993,61.523
26.5622,61.667
26.7252,61.667
26.8882,61.542
27.0511,60.667
27.2141,60.564
27.3770,59.667
27.5400,59.667
27.7029,59.667
27.8659,59.667
28.0289,59.667
28.1918,59.667
28.3548,59.667
28.5177,59.667
28.6807,59.667
