Distance_(pixels),Gray_Value
0,8.667
1,8.667
2,8.667
3,9.581
4,9.667
5,9.762
6,10.549
7,11.093
8,12.771
9,13.610
10,13.905
11,14.686
12,15.657
13,17.257
14,19.200
15,20.571
16,22.810
17,25.362
18,27.467
19,29.198
20,30.884
21,33.200
22,36.610
23,40.743
24,45.081
25,48.755
26,50.878
27,54.387
28,59.000
29,63.746
30,68.061
31,71.243
32,73.704
33,77.584
34,80.184
35,86.667
36,93.686
37,96.095
38,96.924
39,103.471
40,111.190
41,117.852
42,121.800
43,126.264
44,129.180
45,130.769
46,131.686
47,133.314
48,134.952
49,133.293
50,132.420
51,132.700
52,131.762
53,130.473
54,128.569
55,126.449
56,124.604
57,124.156
58,124.657
59,123.081
60,119.816
61,114.752
62,107.943
63,103.307
64,100.587
65,99.388
66,96.357
67,92.599
68,87.831
69,82.787
70,79.000
71,75.111
72,71.210
73,67.619
74,65.211
75,62.429
76,58.328
77,54.951
78,51.828
79,49.076
80,45.916
81,43.632
82,40.805
83,38.009
84,35.533
85,32.837
86,29.960
87,27.638
88,26.181
89,25.667
90,24.381
91,22.293
92,21.295
93,20.324
94,19.248
95,18.048
96,17.076
97,16.161
98,15.707
99,15.333
100,15.333
101,15.219
102,14.333
103,14.333
104,14.305
105,13.333
