Distance_(pixels),Gray_Value
0,12.667
1,13.379
2,13.667
3,13.777
4,14.481
5,14.667
6,14.667
7,14.667
8,14.667
9,14.667
10,14.667
11,14.667
12,14.361
13,14.921
14,15.539
15,14.501
16,14.667
17,14.667
18,14.667
19,14.667
20,14.667
21,14.667
22,14.667
23,15.052
24,15.667
25,15.667
26,15.375
27,14.671
28,14.667
29,14.667
30,14.773
31,15.476
32,15.667
33,15.883
34,16.605
35,16.667
36,16.667
37,16.647
38,16.667
39,16.667
40,17.162
41,17.667
42,17.667
43,17.414
44,16.711
45,16.667
46,16.583
47,17.149
48,17.861
49,18.933
50,19.333
51,19.665
52,20.359
53,21.160
54,21.333
55,22.028
56,22.333
57,22.525
58,24.737
59,27.018
60,29.056
61,31.826
62,29.393
63,29.405
64,35.441
65,42.923
66,48.712
67,53.173
68,64.050
69,77.323
70,90.392
71,101.472
72,114.587
73,128.213
74,141.893
75,150.730
76,153.057
77,153.154
78,154.372
79,153.867
80,147.864
81,147.352
82,149.116
83,148.218
84,139.178
85,130.782
86,119.809
87,108.675
88,97.796
89,89.886
90,82.624
91,73.817
92,69.541
93,68.667
94,68.005
95,64.707
96,68.962
97,78.236
98,89.555
99,99.015
100,106.710
101,113.112
102,119.949
103,128.065
104,137.165
105,143.888
106,152.311
107,163.886
108,174.044
109,178.036
110,178.458
111,175.528
112,175.099
113,173.667
114,173.941
115,171.549
116,161.389
117,151.166
118,142.215
119,134.986
120,125.600
121,117.867
122,113.699
123,112.641
124,105.987
125,94.772
126,87.208
127,82.115
128,79.590
129,83.692
130,88.830
131,94.887
132,103.609
133,110.795
134,116.841
135,120.843
136,127.721
137,136.745
138,147.324
139,157.838
140,164.231
141,165.822
142,166.204
143,167.474
144,169.362
145,170.059
146,170.013
147,163.413
148,154.033
149,148.535
150,146.214
151,145.156
152,147.830
153,150.962
154,150.744
155,148.375
156,144.778
157,141.276
158,141.342
159,141.078
160,136.136
161,127.142
162,118.704
163,106.543
164,94.419
165,83.852
166,73.854
167,67.496
168,64.283
169,64.000
170,58.468
171,52.319
172,45.866
173,40.944
174,35.304
175,29.739
176,27.119
177,24.345
178,22.573
179,21.655
180,21.873
181,20.989
182,19.997
183,18.932
184,17.587
185,16.842
186,16.162
187,15.450
188,14.719
189,14.025
190,13.429
191,12.733
192,13.445
193,13.667
194,13.667
195,13.667
196,13.038
197,11.866
198,10.667
199,10.667
200,10.667
201,10.476
202,9.764
203,9.872
204,10.000
205,10.000
206,10.000
207,10.000
208,10.336
209,11.000
210,11.000
211,11.000
212,11.000
213,11.000
214,10.097
215,9.000
216,9.000
217,9.000
218,9.000
219,9.000
220,9.000
221,9.000
222,9.000
223,9.000
224,9.000
225,9.288
226,10.000
