Distance_(pixels),Gray_Value
0,8.667
1,9.577
2,10.486
3,11.462
4,10.175
5,9.333
6,9.333
7,9.333
8,9.333
9,9.470
10,10.333
11,10.333
12,10.333
13,9.505
14,9.333
15,9.407
16,9.333
17,9.333
18,9.126
19,8.950
20,8.612
21,9.168
22,10.667
23,10.667
24,10.667
25,10.667
26,10.667
27,10.784
28,11.060
29,11.333
30,11.333
31,11.333
32,11.337
33,12.000
34,11.995
35,12.412
36,12.976
37,13.770
38,14.419
39,15.161
40,16.120
41,18.538
42,22.142
43,24.329
44,26.220
45,27.218
46,29.121
47,29.944
48,32.130
49,33.696
50,36.357
51,40.005
52,44.820
53,49.701
54,54.762
55,59.216
56,62.177
57,64.716
58,67.567
59,71.761
60,76.042
61,80.958
62,86.239
63,91.605
64,95.730
65,98.086
66,97.763
67,101.058
68,103.795
69,103.989
70,105.431
71,107.217
72,110.266
73,113.370
74,114.035
75,110.519
76,102.928
77,95.325
78,92.002
79,93.653
80,95.355
81,91.511
82,82.287
83,70.519
84,62.459
85,56.407
86,47.414
87,41.814
88,38.583
89,34.766
90,32.306
91,33.326
92,32.154
93,33.978
94,39.078
95,45.036
96,50.199
97,54.540
98,59.845
99,68.707
100,75.402
101,81.851
102,83.901
103,84.076
104,83.143
105,83.070
106,84.563
107,86.249
108,87.154
109,86.679
110,81.090
111,79.781
112,78.356
113,75.138
114,71.083
115,64.401
116,56.257
117,48.724
118,41.041
119,34.091
120,32.447
121,31.847
122,33.667
123,35.486
124,36.919
125,39.270
126,42.434
127,45.240
128,51.481
129,58.395
130,62.578
131,63.559
132,67.058
133,71.949
134,75.077
135,73.975
136,75.536
137,76.418
138,76.774
139,76.126
140,73.772
141,71.713
142,70.934
143,70.877
144,69.539
145,62.425
146,58.150
147,53.113
148,48.842
149,44.907
150,41.507
151,38.104
152,34.864
153,33.275
154,33.623
155,33.692
156,33.700
157,33.346
158,34.289
159,36.746
160,40.525
161,44.578
162,49.082
163,57.525
164,65.858
165,73.250
166,79.283
167,84.563
168,88.537
169,92.959
170,96.137
171,102.170
172,108.717
173,113.110
174,115.328
175,116.443
176,118.675
177,122.832
178,124.208
179,123.604
180,125.008
181,125.922
182,126.758
183,128.333
184,130.174
185,128.720
186,124.141
187,118.037
188,113.836
189,107.725
190,104.257
191,98.105
192,93.464
193,90.806
194,88.544
195,84.710
196,78.351
197,71.606
198,65.352
199,61.025
200,55.736
201,51.448
202,47.178
203,43.675
204,39.836
205,36.967
206,34.295
207,30.432
208,27.162
209,26.513
210,27.069
211,26.558
212,22.903
213,19.885
214,20.287
215,18.542
216,16.590
217,15.742
218,14.918
219,13.925
220,12.224
221,12.074
222,11.358
223,11.366
224,11.333
225,11.333
226,11.126
227,10.467
228,10.443
229,11.352
230,12.262
231,13.172
232,13.727
233,10.694
234,10.667
235,10.667
236,10.667
237,10.667
238,10.667
239,10.667
240,10.322
241,9.843
242,9.667
243,9.577
244,8.667
