Distance_(pixels),Gray_Value
0,10.6667
1,10.6667
2,10.6667
3,10.6667
4,10.6667
5,10.6667
6,10.6667
7,10.6667
8,10.6667
9,10.6667
10,10.6667
11,11.3855
12,11.6667
13,11.6667
14,12.0361
15,12.6667
16,12.6667
17,12.6867
18,13.5703
19,13.6667
20,14.5609
21,15.0000
22,15.0363
23,15.4680
24,16.5752
25,18.1566
26,20.2053
27,20.4288
28,20.4172
29,22.5341
30,24.1727
31,25.8876
32,27.8222
33,29.5766
34,31.8980
35,33.8675
36,36.6747
37,39.0251
38,43.6526
39,47.5606
40,50.0736
41,52.7751
42,55.8916
43,59.1047
44,64.2033
45,69.2216
46,73.3859
47,77.0911
48,79.8956
49,82.5462
50,85.1365
51,86.3855
52,86.0375
53,86.5715
54,89.2892
55,92.4056
56,93.9578
57,93.0843
58,92.0000
59,92.1285
60,93.0120
61,93.5651
62,91.6490
63,88.4779
64,85.2972
65,83.1952
66,80.0332
67,78.0602
68,75.8818
69,74.8474
70,74.1473
71,71.4096
72,67.5424
73,63.1513
74,57.2692
75,52.2491
76,49.1419
77,44.8929
78,40.8517
79,37.9804
80,37.3333
81,38.1884
82,39.5663
83,40.5556
84,41.0161
85,42.4993
86,44.9636
87,46.7349
88,47.7510
89,48.6345
90,49.0000
91,48.6064
92,48.5757
93,49.7805
94,49.9168
95,50.6189
96,50.6667
97,50.0965
98,49.3511
99,48.0402
100,46.9799
101,46.0716
102,43.9982
103,41.3334
104,37.2828
105,34.8755
106,34.3333
107,33.7952
108,33.0928
109,31.9607
110,31.4371
111,31.1577
112,31.9334
113,34.3163
114,35.9478
115,35.5009
116,35.7831
117,36.3898
118,37.8474
119,38.9571
120,39.3574
121,40.2751
122,41.1245
123,42.0080
124,42.4634
125,41.9975
126,41.0337
127,40.0040
128,39.1546
129,40.0006
130,37.6974
131,37.3888
132,36.5462
133,34.6867
134,32.4538
135,30.1908
136,28.5060
137,27.6225
138,26.7390
139,27.4779
140,27.6667
141,28.8233
142,30.1285
143,31.0120
144,31.8956
145,32.7079
146,33.4270
147,38.4396
148,41.3930
149,43.1060
150,44.6630
151,46.4940
152,48.2049
153,49.5703
154,49.9714
155,50.4056
156,49.1606
157,47.0964
158,44.8635
159,43.5703
160,42.9491
161,42.0813
162,41.0683
163,39.3022
164,37.8954
165,35.7948
166,33.5556
167,32.7831
168,32.3333
169,32.5652
170,33.5341
171,34.4736
172,36.4391
173,37.6319
174,39.6626
175,41.8554
176,44.5060
177,47.4379
178,49.6210
179,52.1213
180,54.4727
181,59.7552
182,65.8357
183,71.8364
184,73.8323
185,74.0366
186,75.0281
187,77.4337
188,80.4584
189,83.6661
190,87.2432
191,90.1062
192,91.6702
193,94.1726
194,97.6988
195,101.5513
196,104.2667
197,104.0259
198,99.0624
199,94.8578
200,93.5863
201,90.8353
202,88.7015
203,87.7962
204,86.3929
205,83.2892
206,79.6959
207,74.9357
208,68.5473
209,63.5609
210,58.6083
211,55.0984
212,51.3142
213,46.0509
214,40.5676
215,36.0385
216,32.4676
217,26.7604
218,22.2249
219,20.3373
220,19.4967
221,18.4056
222,17.5221
223,16.6386
224,15.7550
225,14.8715
226,13.9880
227,13.1044
228,12.6667
229,12.6667
230,12.6667
231,12.5703
232,11.8458
233,12.1834
234,13.0000
235,13.0000
236,13.0000
237,12.4699
238,11.6667
239,11.6667
240,11.6667
241,11.6667
242,11.6667
243,11.6667
244,11.6667
245,11.6667
246,11.3173
247,10.6667
248,10.6667
249,10.6667
