theta(º) phi(º) Potencia(mW)
96 278 2.63
98 278 3.3
100 278 3.93
102 278 4.95
104 278 5.59
106 278 6.23
108 278 6.81
110 278 7.28
112 278 7.23
114 278 6.76
116 278 6.31
118 278 5.31
120 278 4.28
122 278 3.57
124 278 3.28
126 278 3.03
128 278 3.03
130 278 2.95
134 278 2.3
138 278 1.3
142 278 0.85
150 278 0.63
160 278 0.66
170 278 0.71
180 278 1.08
186 278 2.33
190 278 3.66
192 278 4.97
194 278 5.71
198 278 6.87
200 278 7.51
202 278 7.78
204 278 7.33
206 278 6.92
208 278 5.89
212 278 4.62
216 278 3.81
220 278 4.33
230 278 2.58
240 278 2.36
250 278 2.66
260 278 2.65
270 278 3.36
280 278 3.58
290 278 4.7
294 278 5.2
296 278 5.28
298 278 4.54
302 278 3.91
310 278 2.31
320 278 2.95
340 278 4.01
